Status,Confidence,Hash Distance,Reference Image,HD Match,Output File
Matched,Medium,10,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\915 Walk Around\915-walk-around-gallery-03.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\915 Walk Around\3_2\915 Walk Around_08.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Walk Around\915 Walk Around\915 Walk Around_004.jpg
Matched,Medium,8,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\915 Walk Around\915-walk-around-gallery-04.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\IMG_2559.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Walk Around\915 Walk Around\915 Walk Around_005.jpg
Unmatched,No Match,16,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\915 Walk Around\915-walk-around-gallery-05.jpg,,
Matched,Medium,8,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\915 Walk Around\915-walk-around-gallery-06.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\915 Walk Around\High Def\915 Walk Around_16.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Walk Around\915 Walk Around\915 Walk Around_006.jpg
Matched,Medium,8,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\915 Walk Around\915-walk-around-gallery-07.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\915 Walk Around\16_9\915 Walk Around_01.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Walk Around\915 Walk Around\915 Walk Around_007.jpg
Matched,Medium,10,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Walk Around\915 Walk Around\915-walk-around-hero.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\915 Walk Around\3_2\915 Walk Around_06.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Walk Around\915 Walk Around\915 Walk Around_008.jpg
Matched,Medium,8,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Sport Fisher\545 Sport Fisher\545-sport-fisher-card.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\545 Sport Fisher\3_2\545 Sport Fisher_09.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Sport Fisher\545 Sport Fisher\545 Sport Fisher_001.jpg
Matched,Medium,8,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Sport Fisher\545 Sport Fisher\545-sport-fisher-gallery-01.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\545 Sport Fisher\3_2\545 Sport Fisher_14.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Sport Fisher\545 Sport Fisher\545 Sport Fisher_002.jpg
Unmatched,No Match,14,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Sport Fisher\545 Sport Fisher\545-sport-fisher-gallery-02.jpg,,
Matched,High,4,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Sport Fisher\545 Sport Fisher\545-sport-fisher-gallery-03.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\545 Sport Fisher\3_2\545 Sport Fisher_15.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Sport Fisher\545 Sport Fisher\545 Sport Fisher_003.jpg
Matched,High,2,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Sport Fisher\545 Sport Fisher\545-sport-fisher-gallery-04.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\545 Sport Fisher\3_2\545 Sport Fisher_12.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Sport Fisher\545 Sport Fisher\545 Sport Fisher_004.jpg
Unmatched,No Match,18,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Sport Fisher\545 Sport Fisher\545-sport-fisher-gallery-05.jpg,,
Unmatched,No Match,16,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Sport Fisher\545 Sport Fisher\545-sport-fisher-gallery-06.jpg,,
Unmatched,No Match,18,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Sport Fisher\545 Sport Fisher\545-sport-fisher-gallery-07.jpg,,
Matched,Medium,10,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Sport Fisher\545 Sport Fisher\545-sport-fisher-gallery-08.jpg,C:\Users\JamesCody\Inverloch Marine\Data - Documents\A SALES RELATED\EXTREME BOATS\Extreme Boat Photos\545 Sport Fisher\3_2\545 Sport Fisher_10.jpg,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\Brand Photos\Extreme\Sport Fisher\545 Sport Fisher\545 Sport Fisher_005.jpg
Unmatched,No Match,16,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Sport Fisher\545 Sport Fisher\545-sport-fisher-hero.jpg,,
Unmatched,No Match,16,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Sport Fisher\605 Sport Fisher\605-sport-fisher-card.jpg,,
Unmatched,No Match,16,C:\Users\JamesCody\Inverloch Marine\Inverloch Marine Management - Management\Website\Website Rebuild Considerations\New Website\Photos\Sport Fisher\605 Sport Fisher\605-sport-fisher-gallery-01.jpg,,
